ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
LU1834988278,70.65,17.66,3.797,-5.51,,,2.52,40.81,
IE000DR59CI3,86.21,30.28,2.728,-13.79,,,24.74,49.86,
FR0010524777,61.06,21.16,2.716,-7.77,,,11.54,33.85,
IE000AIFGRB9,58.4,20.18,2.716,-9.64,-0.475,59.503,-3.08,32.22,
IE000J0LN0R5,60.33,21.22,2.674,-12.35,,,-3.91,,
FR0010930644,54.22,20.06,2.524,-8.59,,,8.56,29.53,
IE000JNHCBM6,56.13,21.14,2.485,-6.48,0.815,45.983,1.68,,
IE0009BC6K22,74.68,30.14,2.358,-16.11,1.748,53.811,15.67,41.58,
LU1681046006,44.93,18.08,2.286,-8.74,,,-0.98,,
FR0013412004,51.61,21.24,2.26,-9.51,,,3.83,27.72,
IE000VAKCHT4,51.59,24.04,1.997,-3.28,,,8.38,,
LU1681046188,33.51,15.56,1.922,-4.54,,,0.0,,
LU1900066033,73.82,36.98,1.899,-14.85,,,22.7,,
IE000PN3F926,50.5,24.85,1.887,-9.86,,,11.02,,
IE00BLCHJH52,38.08,18.77,1.838,-7.47,0.899,27.258,4.83,,
IE000FCGBU62,40.8,20.57,1.809,-14.69,,,6.83,,
IE000FF2EBQ8,23.24,10.91,1.801,-6.02,,,3.16,11.88,
IE00BLRB0242,44.03,22.67,1.784,-11.33,1.304,29.957,11.68,,
IE000PNL0242,34.98,18.02,1.742,-9.41,1.112,22.446,8.08,,
IE00BKY58G26,39.85,20.83,1.741,-12.87,1.301,23.401,10.97,20.55,
LU1615090864,24.95,12.29,1.739,-6.95,,,6.6,12.75,
IE0006O3TTP9,25.58,13.12,1.676,-8.21,,,4.27,,
IE00BGL86Z12,48.27,26.84,1.665,-13.03,1.704,27.839,21.04,24.82,
IE0002RPS3K2,79.03,48.6,1.552,-29.67,2.132,58.284,41.13,,
IE000OVF8Q66,33.72,19.52,1.543,-10.35,,,9.06,,
FR0013412012,36.75,21.48,1.543,-11.5,,,10.38,18.63,
LU1291097779,33.64,19.63,1.531,-10.87,,,9.44,17.04,
IE000GNOSM10,32.91,19.36,1.514,-8.53,1.087,16.179,10.23,,
IE000D5R9C23,32.99,19.61,1.499,-10.76,,,9.55,,
FR0013412020,32.64,19.38,1.498,-10.69,,,8.97,16.49,
FR001400SDL2,33.4,20.08,1.484,-11.23,,,9.52,16.85,
LU1377382285,21.27,12.83,1.378,-7.7,,,6.03,10.67,
IE00B1XNHC34,45.72,30.59,1.377,-11.28,,,6.84,,
IE000GLIXPP3,30.06,19.5,1.357,-11.36,,,9.99,,
IE000A89Y2G7,21.59,13.59,1.324,-6.23,,,2.94,10.79,
FR001400ZGO4,29.7,20.19,1.293,-11.27,,,8.96,14.71,
IE000PMX0MW6,20.42,13.1,1.285,-5.94,,,1.24,,
IE000LTA2082,25.11,16.8,1.281,-9.84,,,6.33,,
FR001400SDK4,31.61,21.89,1.28,-10.8,,,3.69,15.6,
IE000QLV3SY5,31.19,21.87,1.262,-11.97,1.368,16.591,10.65,,
FR0011869270,22.64,15.28,1.246,-8.78,,,5.4,11.24,
LU1681037518,26.41,18.37,1.242,-10.84,,,10.82,,
IE000KEFZYE7,34.24,24.79,1.237,-15.23,1.473,18.804,10.32,,
IE00BYVJRP78,32.7,23.72,1.227,-12.33,1.379,17.581,8.56,,
IE000T369T05,31.75,23.18,1.215,-11.54,,,3.78,15.52,
IE000YNVI4W4,21.07,14.41,1.213,-9.2,,,4.45,,
IE00BJQRDN15,21.26,14.74,1.199,-8.65,1.056,9.175,7.31,,
IE000YUTMIU2,16.2,10.54,1.196,-5.81,,,5.01,,
IE00050J4789,21.77,15.38,1.182,-6.13,,,6.6,,
IE00BJQRDP39,19.99,14.13,1.16,-8.11,,,6.93,,
IE00BGDQ0T50,27.89,21.25,1.143,-12.02,,,8.61,,
IE00BM8QRZ79,40.55,32.38,1.141,-12.64,1.183,27.436,1.6,,
LU1481203070,29.27,22.64,1.134,-9.56,,,1.66,14.17,
IE0001XCFC82,30.4,23.87,1.123,-10.4,1.392,13.053,4.07,14.66,
LU3195985372,22.69,17.04,1.121,-8.77,,,4.16,,
IE000PJL7R74,27.67,21.5,1.12,-12.6,1.345,13.265,11.07,,
IE0002XFS025,17.29,12.36,1.108,-7.6,0.873,6.677,6.54,,
IE00BKY59G90,24.06,18.6,1.1,-11.16,1.15,9.098,9.02,11.72,
IE00BLRPN388,28.29,22.56,1.095,-13.77,1.428,13.212,9.71,,
IE00BKY55W78,19.98,15.27,1.073,-10.47,0.965,6.843,6.11,9.78,
IE000MKIH0W7,15.33,11.04,1.063,-6.65,0.745,5.748,7.15,,
IE00BNTVVR89,58.6,52.12,1.055,-34.64,,,4.67,,
IE00BLB2GT26,10.92,6.95,1.054,-3.6,,,3.06,,
IE00BLB2GQ94,8.32,4.64,1.018,-1.82,,,3.09,,
LU2993402101,16.81,13.04,1.014,-8.14,,,3.75,,
IE000ZUTO1I5,24.7,21.1,1.0,-10.49,,,0.99,,
IE00BKY59K37,16.47,13.05,0.987,-8.52,0.919,3.792,6.84,8.06,
IE000I5NV504,19.49,16.25,0.979,-9.23,1.055,5.476,10.1,9.44,
LU2533813023,20.56,17.43,0.974,-8.0,,,0.0,9.91,
IE00BLB2GS19,15.3,12.2,0.96,-6.95,,,7.95,,
IE00BMH5YL08,36.6,35.03,0.942,-18.96,1.705,19.293,13.55,,
IE000RITWOD4,17.32,14.58,0.941,-10.14,,,4.92,,
IE000C692SN6,18.2,15.74,0.928,-9.94,1.012,4.595,6.44,8.78,
LU1291106356,15.25,12.58,0.927,-6.65,,,2.07,7.44,
IE00BYZK4552,27.12,25.37,0.927,-15.07,1.674,6.973,18.75,12.61,
IE00000EF730,16.06,13.95,0.894,-9.04,,,4.77,,
IE000XD7KCJ7,32.99,33.15,0.887,-14.69,1.042,21.02,-6.41,,
LU2533813296,20.32,19.51,0.857,-7.39,,,6.77,9.59,
LU1602144575,17.51,16.74,0.832,-10.63,,,8.7,8.33,
IE00BKY40J65,13.43,11.88,0.828,-7.75,0.8,1.927,7.65,6.52,
LU2059756325,17.27,16.9,0.809,-10.55,,,8.88,8.18,
FR0013412269,18.59,18.6,0.806,-11.34,,,13.24,8.73,
IE000UFAX9L6,16.26,15.76,0.804,-8.63,1.0,4.62,6.52,,
IE00BKS7L097,13.66,12.56,0.802,-8.79,0.89,1.273,8.13,6.6,
IE00BFM15T99,21.75,22.69,0.8,-11.84,,,2.18,9.99,
LU1603797587,12.46,11.09,0.8,-6.64,,,1.93,6.05,
IE000IY9QFN9,14.9,14.22,0.795,-9.31,1.004,3.229,9.7,,
IE00BHZPJ783,15.16,14.56,0.794,-10.01,,,4.24,,
LU0959210278,12.69,11.54,0.789,-7.51,,,4.89,6.15,
IE0000VX9GN7,13.46,12.69,0.777,-8.97,,,8.25,6.48,
IE000AGFZM58,15.76,15.71,0.775,-10.18,,,6.32,7.48,
IE00BLLZQ805,13.05,12.33,0.767,-7.53,,,6.41,,
FR001400SDJ6,20.53,22.16,0.764,-11.69,,,2.21,9.39,
LU0959210781,12.42,11.55,0.764,-7.55,,,4.83,6.0,
LU1291099718,14.45,14.35,0.757,-9.73,,,4.64,6.89,
IE0006WOV4I9,12.83,12.28,0.752,-6.63,,,6.1,,
IE000PL3UFC3,13.13,12.67,0.752,-10.35,,,7.36,6.31,
IE000YARBD10,19.53,21.3,0.748,-11.43,,,2.57,8.95,
IE0000SS94R1,19.53,21.54,0.74,-12.07,,,2.61,8.92,
IE000SNWS0L0,14.34,14.54,0.739,-9.35,,,8.21,6.82,
LU1681042609,14.46,15.01,0.724,-10.05,,,4.43,,
IE0004J37T45,11.92,11.56,0.721,-6.94,,,6.8,5.74,
IE0002DDYPW4,11.86,11.47,0.721,-6.06,,,5.61,5.72,
LU1681041544,13.8,14.2,0.719,-9.26,,,7.05,6.55,
LU1603795458,12.97,13.04,0.719,-7.68,,,5.6,6.2,
IE00BJQRDL90,14.14,15.09,0.699,-11.3,0.93,1.318,5.7,,
LU1681040223,14.18,15.2,0.697,-10.9,,,5.33,6.68,
LU1602144732,18.87,21.97,0.696,-11.44,,,2.09,8.52,
LU2870272734,13.83,14.77,0.693,-10.1,,,4.94,,
LU2800573128,20.04,24.07,0.683,-12.9,,,2.49,8.89,
IE000AZOUN82,13.62,14.75,0.68,-9.52,,,10.53,,
LU1377381717,12.3,12.82,0.679,-9.98,,,4.94,5.86,
LU1377382103,14.12,15.55,0.677,-9.29,,,5.14,6.62,
IE000ATQR3N3,12.94,13.87,0.674,-8.91,,,7.65,,
IE000K1P4V37,13.58,15.0,0.666,-9.33,,,7.35,,
LU1940199711,13.61,15.17,0.661,-10.46,,,5.82,6.38,
IE0008FB2WZ1,12.53,13.57,0.659,-8.54,,,7.41,5.93,
IE000Z8BHG02,18.0,21.94,0.657,-11.07,,,7.15,,
FR0013412285,11.09,11.47,0.654,-7.47,,,7.0,5.31,
IE000W8HP9L8,11.11,11.75,0.64,-6.82,,,6.17,5.31,
IE00BG0NY640,13.54,15.68,0.634,-9.77,,,6.39,,
IE0001GSQ2O9,11.41,12.4,0.63,-7.28,,,6.34,,
FR001400SDM0,11.4,12.47,0.627,-7.51,,,6.23,5.42,
LU0908501132,13.71,16.17,0.625,-10.61,,,6.02,,
LU3086388124,12.99,15.06,0.624,-10.31,,,4.52,6.06,
IE000PB4LRO2,11.24,12.26,0.624,-7.22,,,6.39,5.35,
IE00013A2XD6,12.63,14.56,0.62,-9.86,,,8.59,,
IE0008D0AIU9,11.8,13.28,0.618,-6.7,,,3.36,,
IE000QCDDND5,17.14,21.98,0.616,-10.25,,,1.04,,
LU1940199984,12.62,14.66,0.616,-10.65,,,6.11,5.9,
FR001400KE06,13.55,16.21,0.614,-10.48,,,2.29,6.26,
IE00BKY55S33,18.23,23.92,0.612,-14.24,1.353,1.261,1.55,7.93,
IE000K48NTA1,11.24,12.51,0.611,-6.55,,,6.82,5.33,
FR0011440478,14.49,17.98,0.606,-12.6,,,4.51,6.6,
IE0007QB4QS2,11.07,12.39,0.603,-7.68,,,6.7,,
IE0001W4ZVM2,12.59,15.0,0.6,-9.09,,,9.06,,
IE000Q6C8036,11.17,12.73,0.595,-9.34,,,7.88,5.28,
IE000IAPH329,5.25,2.8,0.591,-1.68,,,1.53,,
IE0007YP0PL1,10.96,12.62,0.584,-8.26,,,6.08,,
IE000QF66PE6,10.97,12.72,0.58,-9.2,,,7.55,,
FR001400ZGS5,11.11,12.99,0.578,-7.48,,,6.27,5.23,
IE000130VPV5,9.61,10.5,0.573,-6.98,,,8.03,4.6,
LU1291098827,12.88,16.21,0.573,-10.28,,,5.08,5.91,
IE000WQ5O293,12.36,15.61,0.561,-8.94,,,7.71,5.69,
LU1691909508,10.07,11.56,0.561,-6.72,,,3.2,,
LU2870272908,10.7,12.71,0.559,-7.78,,,6.79,,
IE0004HBJKG0,10.62,12.66,0.555,-6.5,,,6.54,4.99,
FR001400KH45,10.52,12.49,0.555,-8.7,,,5.48,4.95,
IE000KYX7IP4,11.98,15.14,0.554,-9.66,,,3.83,,
LU2216829809,12.3,16.04,0.543,-9.02,,,9.11,,
IE000EHPAS96,10.62,12.94,0.543,-7.86,,,6.95,4.98,
IE00058MW3M8,10.54,12.99,0.535,-9.54,,,7.8,4.93,
FR001400SDI8,12.57,16.78,0.535,-10.41,,,4.1,5.7,
IE00BKSBGT50,11.66,15.13,0.533,-9.91,,,4.14,,
LU1923163759,3.96,0.7,0.533,-0.06,,,0.41,1.98,
IE000PEAJOT0,11.13,14.3,0.527,-11.05,,,9.62,5.15,
IE00BKSBGV72,10.82,13.87,0.521,-8.99,1.011,-0.899,8.29,,
IE00BKSBGS44,10.7,13.8,0.515,-9.56,0.944,-0.49,9.35,,
