Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link,SFDR
Amundi Eur Gvrnmet Green Bnd Ucits Etf,"7,398","-0,18",14:49:22,"7,392","7,408","7,41",,/borsa/etf/scheda/LU2356220926-ETFP.html?lang=it,Art. 9
Amundi Euro Government Green Bond   Ucits Etf Acc,"7,408","-0,07",17:35:26,"7,385","7,412","7,408",,/borsa/etf/scheda/LU2356220926-XPAR.html?lang=it,Art. 9
Amundi Msci China Esg Selection - Ucits Etf Dr (C),"33,298","+0,07",11:41:01,"33,298","33,517","33,41",,/borsa/etf/scheda/LU2343997487-XPAR.html?lang=it,Art. 9
Amundi Msci Emu Climate Paris Aligned Ucits Etf Acc,"87,22","-0,15",17:25:47,"86,77","87,59","87,17",,/borsa/etf/scheda/LU2182388582-XPAR.html?lang=it,Art. 9
Amundi Msci Emu Esg Broad Transition Ucits Etf Acc,"340,90","-0,26",17:35:06,"338,80","342,00","340,90",,/borsa/etf/scheda/LU0908501058-XPAR.html?lang=it,Art. 9
Amundi Msci Japan Sri Climate Paris Aligned - Ucits Etf Dr (C),"47,047","-1,04",17:35:10,"46,938","47,169","47,047",,/borsa/etf/scheda/LU2233156749-XPAR.html?lang=it,Art. 9
Amundi Msci Japan Sri Climate Paris Aligned - Ucits Etf Dr (C),"8.768,491","-1,05",15:14:31,"8.768,491","8.796,708","8.759,989",,/borsa/etf/scheda/LU2233156749-XAMC.html?lang=it,Art. 9
Amundi Msci Japan Sri Climate Paris Aligned - Ucits Etf Dr - Hedged Eur (C),"78,975","-1,29",16:24:28,"78,975","79,558","79,112",,/borsa/etf/scheda/LU2269164310-XPAR.html?lang=it,Art. 9
Amundi Msci Pacific Ex Japan Sri Climate Paris Aligned - Ucits Etf Dr - Usd (C),"773,20","-0,99",16:49:02,"771,80","773,60","773,10",,/borsa/etf/scheda/LU1602145036-XPMC.html?lang=it,Art. 9
Amundi Msci Uk Imi Sri Climate Paris Aligned - Ucits Etf Dr - Eur (C),"1.010,20","-0,82",17:35:02,"1.004,60","1.013,00","1.010,20",,/borsa/etf/scheda/LU1437025023-XPAR.html?lang=it,Art. 9
Amundi Msci Uk Imi Sri Climate Paris Aligned - Ucits Etf Dr - Gbp (C),"14,572","-1,21",13:04:52,"14,566","14,644","14,598",,/borsa/etf/scheda/LU1437025296-XPMC.html?lang=it,Art. 9
Bnp Paribas Easy Ecpi Circular Economy Leaders,"21,3246","+0,26",17:35:15,"21,3243","21,3878","21,3246",,/borsa/etf/scheda/LU1953136527-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Ecpi Global Esg Blue Economy Ucits Etf,"17,9359","-0,35",17:35:16,"17,9359","18,0125","17,9359",,/borsa/etf/scheda/LU2194447293-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Ecpi Global Esg Hydrogen Economy Ucits Etf Cap,"13,9789","-0,49",17:24:15,"13,9569","14,0052","13,9342",,/borsa/etf/scheda/LU2365458145-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Esg Enhanced Eur Corp Bond Ucits Etf,,,,"10,824","10,824","10,84",,/borsa/etf/scheda/LU2697596745-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Esg Enhanced Eur Corp Bond Ucits Etf,,,,"10,234","10,234","10,256",,/borsa/etf/scheda/LU2697596828-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Esg Enhanced Eur Corp Bond Ucits Etf,,,,,,"10,84",,/borsa/etf/scheda/LU2697596745-ETFP.html?lang=it,Art. 9
Bnp Paribas Easy Eur Corp Bond Sri Pab 3-5y Ucits Etf,,,,"11,632","11,632","11,652",,/borsa/etf/scheda/LU2446383338-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Ftse Epra Nareit Developed Europe Green Ctb Ucits Etf,,,,"6,8078","6,8078","6,8031",,/borsa/etf/scheda/LU2008763935-XPAR.html?lang=it,Art. 9
Bnp Paribas Easy Jpm Esg Green Social & Sustainability Ig Eur Bond Ucits Etf,,,,,,"7,5435",,/borsa/etf/scheda/LU2365458731-XPAR.html?lang=it,Art. 9
Janus Henderson Eur Ultrashort Ig Bond Paris-Aligned Climate Core Ucits Etf Eur Acc,,,,,,"10,816",,/borsa/etf/scheda/IE000WXLHR76-ETFP.html?lang=it,Art. 9
Jpm Carbon Tran Glb Equity Usd Ucits Etf,"43,515","-0,09",17:35:22,"43,31","43,54","43,515",,/borsa/etf/scheda/IE00BMDWYZ92-ETFP.html?lang=it,Art. 9
Jpm Carbon Transit Glb Eq Ctb Ucits Etf,"43,225","-0,08",17:35:07,"43,075","43,225","43,225",,/borsa/etf/scheda/IE000W95TAE6-ETFP.html?lang=it,Art. 9
Jpm Carbon Transition Global Equity Ucits Etf Eur,,,,,,"28,525",,/borsa/etf/scheda/IE0009TJ5T70-ETFP.html?lang=it,Art. 9
Jpm Climate Change Sol Ucits Etf Usd Acc,"39,055","+0,21",15:35:41,"39,055","39,35","38,995",,/borsa/etf/scheda/IE000O8S1EX4-ETFP.html?lang=it,Art. 9
Jpm Europe Research Enhanced Index Equity Sri Paris Aligned Active Ucits Etf,"30,02","-0,65",17:35:18,"30,02","30,02","30,02",,/borsa/etf/scheda/IE0003UN5CT1-ETFP.html?lang=it,Art. 9
Jpm Global Emerging Markets Research Enhanced Index Equity Sri Paris Aligned Active Ucits Etf,,,,,,"32,45",,/borsa/etf/scheda/IE000ANHU3J3-ETFP.html?lang=it,Art. 9
Jpm Global Rei Sri Pa Ucits Etf Eurh Acc,,,,,,"33,915",,/borsa/etf/scheda/IE000UZIKD07-ETFP.html?lang=it,Art. 9
Jpm Global Rei Sri Pa Ucits Etf Usd Acc,"33,095","-0,54",16:04:40,"33,095","33,22","33,17",,/borsa/etf/scheda/IE000BXC49I6-ETFP.html?lang=it,Art. 9
Jpm Us Rei Sri Pa Ucits Etf Eurh Acc,,,,,,"33,90",,/borsa/etf/scheda/IE0006HMLPV6-ETFP.html?lang=it,Art. 9
Jpm Us Rei Sri Pa Ucits Etf Usd Acc,,,,,,"33,59",,/borsa/etf/scheda/IE00069JGT58-ETFP.html?lang=it,Art. 9
L&G Clean Energy Ucits Etf,"15,208","-0,04",17:35:20,"15,118","15,378","15,208",,/borsa/etf/scheda/IE00BK5BCH80-ETFP.html?lang=it,Art. 9
L&G Clean Water Ucits Etf,"17,966","-1,08",17:35:23,"17,952","18,092","17,966",,/borsa/etf/scheda/IE00BK5BC891-ETFP.html?lang=it,Art. 9
L&G Emerging Markets Equity Ucits Etf,"16,384","+0,69",10:10:13,"16,382","16,384","16,418",,/borsa/etf/scheda/IE000CBYU7J5-ETFP.html?lang=it,Art. 9
L&G Hydrogen Economy Ucits Etf,"7,294","+1,29",17:35:28,"7,187","7,301","7,294",,/borsa/etf/scheda/IE00BMYDM794-ETFP.html?lang=it,Art. 9
L&G Us Esg Paris Aligned Ucits Etf,,,,,,"21,975",,/borsa/etf/scheda/IE00BKLWY790-ETFP.html?lang=it,Art. 9
Ossiam Bloomberg Asia Pacific Ex Japan Pab Nr - Ucits Etf 1c (Eur),"128,1154","-0,77",17:35:07,"128,1152","128,35","128,1154",,/borsa/etf/scheda/LU2491210618-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Canada Pab Nr Ucits Etf - 1a (Eur),,,,"149,0821","149,0821","148,2316",,/borsa/etf/scheda/IE0006QX3Y11-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Europe Ex Eurozone Pab Nr - Ucits Etf 1c (Eur),"185,9007","-0,43",09:04:19,"185,9007","185,9007","185,0861",,/borsa/etf/scheda/LU1655103486-XPAR.html?lang=it,Art. 9
Ossiam Bloomberg Eurozone Pab Nr - Ucits Etf 1c (Eur),"172,06","-0,77",10:52:29,"172,00","173,00","172,88",,/borsa/etf/scheda/LU1847674733-XPAR.html?lang=it,Art. 9
Ubs Sustainable Development Bank Bonds 5-10 Ucits Etf Heur Acc,"5,098","-0,12",16:15:24,"5,086","5,099","5,096",,/borsa/etf/scheda/LU2880762948-ETFP.html?lang=it,Art. 9
Ubs Sustainable Development Bank Bonds 5-10 Ucits Etf Usd Acc,"4,852","-0,10",16:56:44,"4,843","4,852","4,85",,/borsa/etf/scheda/LU2880762781-ETFP.html?lang=it,Art. 9
Vaneck Circular Economy Ucits Etf,"23,53","-1,90",16:02:45,"23,53","23,635","23,535",,/borsa/etf/scheda/IE0001J5A2T9-ETFP.html?lang=it,Art. 9
Vaneck Genomics N Healthca Inn Ucits Etf,,,,,,"17,228",,/borsa/etf/scheda/IE000B9PQW54-ETFP.html?lang=it,Art. 9
Vaneck Hydrogen Economy  Ucits Etf,"8,306","+1,98",17:35:10,"8,15","8,382","8,306",,/borsa/etf/scheda/IE00BMDH1538-ETFP.html?lang=it,Art. 9
Vaneck Medical Robotics And Bionic Engineering Ucits Etf,"15,83","-0,44",16:51:34,"15,83","15,90","15,754",,/borsa/etf/scheda/IE0005TF96I9-ETFP.html?lang=it,Art. 9
Vaneck Sust Future Of Food Ucits Etf,,,,,,"18,752",,/borsa/etf/scheda/IE0005B8WVT6-ETFP.html?lang=it,Art. 9
Wisdomtree Global Sust Equity Ucits Etf,,,,,,"26,475",,/borsa/etf/scheda/IE000XNILW20-ETFP.html?lang=it,Art. 9
Wisdomtree Renewable Energy Ucits Etf,"27,94","-0,07",17:27:16,"27,655","28,44","27,87",,/borsa/etf/scheda/IE000P3D0W60-ETFP.html?lang=it,Art. 9
Xtrackers Eur Corp Green Bond Ucits Etf,"27,86","+0,02",17:35:10,"27,775","27,86","27,86",,/borsa/etf/scheda/IE000MCVFK47-ETFP.html?lang=it,Art. 9
Xtrackers Euroz Gov Green Bond Ucits Etf,,,,,,"33,365",,/borsa/etf/scheda/LU2504532487-ETFP.html?lang=it,Art. 9
Xtrackers Usd Corp Green Bond Ucits Etf,,,,,,"27,81",,/borsa/etf/scheda/IE0003W9O921-ETFP.html?lang=it,Art. 9
Franklin Sustainable Euro Green Bond Ucits Etf,,,,"23,845","23,845","23,88",,/borsa/etf/scheda/IE00BHZRR253-XAMS.html?lang=it,Art. 9
Goldman Gbl Green Bond Ucits Etf H D,,,,,,"48,935",,/borsa/etf/scheda/IE000L0X6L81-ETFP.html?lang=it,Art. 9
Goldman Sachs Ac B Paal St Us Cap Eq Ucits Etf,"82,71","-0,17",09:04:28,"82,71","82,71","82,76",,/borsa/etf/scheda/IE00BJ5CNR11-ETFP.html?lang=it,Art. 9
Guinness Sustainable Energy Ucits Etf,"6,904","+0,15",17:08:40,"6,901","6,94","6,922",,/borsa/etf/scheda/IE00BNC1F287-ETFP.html?lang=it,Art. 9
Guinness Sustainable Energy Ucits Etf,,,,"6,919","6,919","6,9318",,/borsa/etf/scheda/IE00BNC1F287-XPAR.html?lang=it,Art. 9
Invesco Hydrogen Economy Ucits Etf,"5,00","+0,83",13:22:42,"5,00","5,00","4,979",,/borsa/etf/scheda/IE00053WDH64-ETFP.html?lang=it,Art. 9
