Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link,SFDR
Am Euro High Yield Bond Esg Dr Ucits Etf,"264,32","-0,00",17:35:25,"264,03","264,42","264,32",,/borsa/etf/scheda/LU1681040496-ETFP.html?lang=it,Art. 8
Amudi Eur Corp Bnd Ex-Fin Esg Ucits Etf,"136,48","-0,15",14:49:20,"136,48","136,54","136,59",,/borsa/etf/scheda/LU1829218822-ETFP.html?lang=it,Art. 8
Amundi Cac 40 Esg Ucits Etf Acc,"139,80","-0,98",15:34:04,"139,08","140,12","139,98",,/borsa/etf/scheda/LU1681046931-ETFP.html?lang=it,Art. 8
Amundi Cac 40 Esg Ucits Etf Acc,"139,90","-0,82",17:35:00,"139,00","140,80","139,90",,/borsa/etf/scheda/LU1681046931-XPAR.html?lang=it,Art. 8
Amundi Cac 40 Esg Ucits Etf Dist,"81,14","-0,88",17:35:01,"80,50","81,76","81,14",,/borsa/etf/scheda/LU1681047079-XPAR.html?lang=it,Art. 8
Amundi Corporate Proceeds Bond Ucits Etf Acc,"9,859","+0,09",16:04:18,"9,85","9,859","9,852",,/borsa/etf/scheda/LU2370241684-XPAR.html?lang=it,Art. 8
Amundi Corporate Proceeds Bond Ucits Etf Acc,"9,841","-0,13",17:20:56,"9,836","9,841","9,853",,/borsa/etf/scheda/LU2370241684-ETFP.html?lang=it,Art. 8
Amundi Dax 50 Esg Ucits Etf Dr,"83,92","-0,34",14:59:10,"83,92","83,92","83,94",,/borsa/etf/scheda/LU2240851688-ETFP.html?lang=it,Art. 8
Amundi Eur Corporate Bond 0-1y Esg - Ucits Etf Dr (C),"54,84","-0,04",13:30:07,"54,80","54,85","54,85",,/borsa/etf/scheda/LU2300294316-ETFP.html?lang=it,Art. 8
Amundi Eur Corporate Bond 0-3y Esg - Ucits Etf Dr (C),"54,07","-0,02",17:35:24,"54,05","54,11","54,07",,/borsa/etf/scheda/LU2037748774-ETFP.html?lang=it,Art. 8
Amundi Eur Corporate Bond 0-3y Esg - Ucits Etf Dr (C),"54,094","+0,00",17:35:21,"54,051","54,096","54,094",,/borsa/etf/scheda/LU2037748774-XPAR.html?lang=it,Art. 8
Amundi Eur Corporate Bond 1-5y Esg Ucits Etf Acc,"54,95","-0,02",17:35:17,"54,85","54,96","54,95",,/borsa/etf/scheda/LU1525418643-ETFP.html?lang=it,Art. 8
Amundi Eur Corporate Bond 1-5y Esg Ucits Etf Acc,"54,897","-0,11",17:35:19,"54,849","54,906","54,897",,/borsa/etf/scheda/LU1525418643-XPAR.html?lang=it,Art. 8
Amundi Eur Corporate Bond 1-5y Esg Ucits Etf Usd Hedged Acc,"10,398","-0,08",13:04:56,"10,398","10,402","10,406",,/borsa/etf/scheda/LU3046359165-XPMC.html?lang=it,Art. 8
Amundi Eur Corporate Bond Climate Paris Aligned Ucits Etf Acc,"154,84","-0,01",17:35:22,"154,53","154,97","154,84",,/borsa/etf/scheda/LU1829219127-ETFP.html?lang=it,Art. 8
Amundi Eur Corporate Bond Climate Paris Aligned Ucits Etf Acc,"154,905","+0,03",17:35:06,"154,657","154,931","154,905",,/borsa/etf/scheda/LU1829219127-XPAR.html?lang=it,Art. 8
Amundi Eur Corporate Bond Esg - Ucits Etf 2 Dr - Eur (C),"226,8923","-0,09",17:35:10,"226,6377","226,8923","226,8923",,/borsa/etf/scheda/LU1681039647-XPAR.html?lang=it,Art. 8
Amundi Eur Corporate Bond Esg - Ucits Etf 2 Dr - Eur (C),"226,74","-0,15",15:50:43,"226,74","227,08","226,97",,/borsa/etf/scheda/LU1681039647-ETFP.html?lang=it,Art. 8
Amundi Eur Corporate Bond Esg - Ucits Etf Dr (C),"54,017","-0,01",17:35:27,"53,876","54,017","54,017",,/borsa/etf/scheda/LU1437018168-XPAR.html?lang=it,Art. 8
Amundi Eur Corporate Bond Esg - Ucits Etf Dr (C),"54,01","-0,06",17:35:23,"53,91","54,02","54,01",,/borsa/etf/scheda/LU1437018168-ETFP.html?lang=it,Art. 8
Amundi Global Aggr Green Bnd Ucits Etf,,,,,,"8,12",,/borsa/etf/scheda/LU1563454401-ETFP.html?lang=it,Art. 8
Amundi Global Aggregate Bond Esg - Ucits Etf Dr (C),"41,38","-0,25",10:49:24,"41,38","41,38","41,445",,/borsa/etf/scheda/LU2439734141-ETFP.html?lang=it,Art. 8
Amundi Global Aggregate Bond Esg Ucits Etf Dr (C),,,,"41,461","41,461","41,436",,/borsa/etf/scheda/LU2439734141-XPAR.html?lang=it,Art. 8
Amundi Global Aggregate Green Bond   Ucits Etf Acc,"48,949","+0,02",16:49:20,"48,827","48,949","48,891",,/borsa/etf/scheda/LU1563454310-XPAR.html?lang=it,Art. 8
Amundi Global Aggregate Proceeds Bond 1-10y Ucits Etf Eur Hedged Acc,"21,16","-0,09",15:58:22,"21,155","21,19","21,175",,/borsa/etf/scheda/LU1981860072-ETFP.html?lang=it,Art. 8
Amundi Global Bioenergy Ucits Etf Eur Acc,"451,60","+0,07",15:35:01,"450,05","454,10","450,10",,/borsa/etf/scheda/LU1681046006-XPAR.html?lang=it,Art. 8
Amundi Global Bioenergy Ucits Etf Eur Acc,"448,80","-0,52",17:35:17,"448,80","453,00","448,80",,/borsa/etf/scheda/LU1681046006-ETFP.html?lang=it,Art. 8
Amundi Global Bioenergy Ucits Etf Usd Acc,"528,40","+0,06",15:36:26,"528,40","529,20","527,20",,/borsa/etf/scheda/LU1681046188-XPMC.html?lang=it,Art. 8
Amundi Global Corporate Bond 1-5y Esg - Ucits Etf Dr (C),"63,43","+0,03",16:38:45,"63,401","63,43","63,426",,/borsa/etf/scheda/LU1525418726-XPMC.html?lang=it,Art. 8
Amundi Global Corporate Bond 1-5y Esg - Ucits Etf Dr (C),"54,24","-0,07",17:35:10,"54,12","54,24","54,24",,/borsa/etf/scheda/LU1525418726-ETFP.html?lang=it,Art. 8
Amundi Global Gender Equality,"17,116","-1,07",17:35:06,"17,116","17,206","17,116",,/borsa/etf/scheda/LU1691909508-XPAR.html?lang=it,Art. 8
Amundi Global Hydrogen Ucits Etf - Acc,"758,10","-0,56",17:35:17,"752,00","761,20","758,10",,/borsa/etf/scheda/FR0010930644-XPAR.html?lang=it,Art. 8
Amundi Italy Mib Esg Ucits Etf Acc,"115,34","-0,64",17:00:59,"114,52","115,34","115,36",,/borsa/etf/scheda/LU1681037518-ETFP.html?lang=it,Art. 8
Amundi Italy Mib Esg Ucits Etf Acc,"115,46","-0,50",17:35:08,"114,50","115,56","115,46",,/borsa/etf/scheda/LU1681037518-XPAR.html?lang=it,Art. 8
Amundi Label Isr Actions Europe Ucits Etf Acc,"12,09","-0,95",17:35:07,"12,032","12,09","12,09",,/borsa/etf/scheda/FR001400SDI8-XPAR.html?lang=it,Art. 8
Amundi Label Isr Actions Japon Ucits Etf Acc,,,,"12,154","12,154","12,088",,/borsa/etf/scheda/FR001400SDJ6-XPAR.html?lang=it,Art. 8
Amundi Label Isr Actions Japon Ucits Etf Eur Hedged Acc,"14,428","-0,92",15:39:14,"14,428","14,493","14,437",,/borsa/etf/scheda/FR001400SDK4-XPAR.html?lang=it,Art. 8
Amundi Label Isr Actions Marchés Emergents Ucits Etf Acc,"6,791","+0,68",16:43:33,"6,738","6,791","6,796",,/borsa/etf/scheda/FR001400SDL2-XPAR.html?lang=it,Art. 8
