Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link
Alerian Midstream Energy Distr Ucits Etf,"17,316","+0,90",17:04:31,"17,264","17,394","17,354",,/borsa/etf/scheda/IE00BKPTXQ89-ETFP.html?lang=it
Am Euro High Yield Bond Esg Dr Ucits Etf,"263,17","-0,22",15:53:43,"263,11","263,88","263,37",,/borsa/etf/scheda/LU1681040496-ETFP.html?lang=it
Amd E Ht Rt Mr-Wt Gt Bnd 1-3y Ucits Etf,,,,,,"101,01",,/borsa/etf/scheda/LU1829219556-ETFP.html?lang=it
Amd Eu Hh Rd Ma-Wg Gv Bd 3-5y Ucits Etf,"106,83","-0,18",16:01:34,"106,83","106,83","106,79",,/borsa/etf/scheda/LU1829219713-ETFP.html?lang=it
Amd Eur H Rtd Mcro-Wgh Gvn Bd Ucits Etf,"125,25","-0,20",15:52:43,"125,25","125,25","125,19",,/borsa/etf/scheda/LU1287023342-ETFP.html?lang=it
Amd Glb Gvt Inf-Lnk Bnd 1-10y Ucits Etf,"10,144","-0,28",09:04:29,"10,144","10,144","10,18",,/borsa/etf/scheda/LU1910939849-ETFP.html?lang=it
Amdi Blg Eql-Wght Com Ex-Agrc Ucits Etf,"43,295","+1,50",17:35:10,"42,93","43,295","43,295",,/borsa/etf/scheda/LU1900069219-ETFP.html?lang=it
Amdi Eur Gvrmnt Infl-Lnkd Bnd Ucits Etf,"170,46","+0,04",17:35:20,"170,30","170,96","170,46",,/borsa/etf/scheda/LU1650491282-ETFP.html?lang=it
Amdi Euro Govnt Bond 7-10y Ucits Etf,"167,79","-0,26",17:35:01,"167,76","168,40","167,79",,/borsa/etf/scheda/LU1287023185-ETFP.html?lang=it
Amdi Gl Grm Inf-Lnk Bnd 1-10y Ucits Etf,"10,828","+0,07",13:20:50,"10,828","10,84","10,83",,/borsa/etf/scheda/LU1910940268-ETFP.html?lang=it
Amdi Msci Ac Asia Pcfc Ex Jpn Ucits Etf,"91,85","+0,61",17:29:56,"91,68","92,35","91,73",,/borsa/etf/scheda/LU1900068328-ETFP.html?lang=it
Amdi Msci All Country World Ucits Etf,"556,60","+0,00",17:14:57,"556,60","559,75","557,38",,/borsa/etf/scheda/LU1829220216-ETFP.html?lang=it
Amdi Us Tips Gov Infl-Lnk Bnd Ucits Etf,"19,12","-0,14",17:08:57,"19,12","19,188","19,132",,/borsa/etf/scheda/LU1452600437-ETFP.html?lang=it
Amdi Us Tips Gvrn Inf-Lnk Bnd Ucits Etf,"100,92","+0,11",17:28:55,"100,92","100,96","100,90",,/borsa/etf/scheda/LU1452600270-ETFP.html?lang=it
Amndi Bloom Eq-Wgh Cmd Ex-Agr Ucits Etf,"36,905","+1,57",17:35:26,"36,58","36,92","36,905",,/borsa/etf/scheda/LU1829218749-ETFP.html?lang=it
