Nome,Ultimo,%,Ora,Min,Max,Riferimento,,Link,SFDR,ISIN,YF_Price
Amundi Global Aggr Green Bnd Ucits Etf,,,,,,"8,12",,/borsa/etf/scheda/LU1563454401-ETFP.html?lang=it,Art. 8,LU1563454401,8.126999855041504
Amundi Global Aggregate Bond Esg - Ucits Etf Dr (C),"41,38","-0,25",10:49:24,"41,38","41,38","41,445",,/borsa/etf/scheda/LU2439734141-ETFP.html?lang=it,Art. 8,LU2439734141,41.365
Amundi Global Aggregate Bond Esg Ucits Etf Dr (C),,,,"41,461","41,461","41,436",,/borsa/etf/scheda/LU2439734141-XPAR.html?lang=it,Art. 8,LU2439734141,41.365
Amundi Global Aggregate Green Bond   Ucits Etf Acc,"48,949","+0,02",16:49:20,"48,827","48,949","48,891",,/borsa/etf/scheda/LU1563454310-XPAR.html?lang=it,Art. 8,LU1563454310,48.394
Amundi Global Aggregate Proceeds Bond 1-10y Ucits Etf Eur Hedged Acc,"21,16","-0,09",15:58:22,"21,155","21,19","21,175",,/borsa/etf/scheda/LU1981860072-ETFP.html?lang=it,Art. 8,LU1981860072,21.174999237060547
Amundi Global Bioenergy Ucits Etf Eur Acc,"451,60","+0,07",15:35:01,"450,05","454,10","450,10",,/borsa/etf/scheda/LU1681046006-XPAR.html?lang=it,Art. 8,LU1681046006,450.1000061035156
Amundi Global Bioenergy Ucits Etf Eur Acc,"448,80","-0,52",17:35:17,"448,80","453,00","448,80",,/borsa/etf/scheda/LU1681046006-ETFP.html?lang=it,Art. 8,LU1681046006,450.1000061035156
Amundi Global Bioenergy Ucits Etf Usd Acc,"528,40","+0,06",15:36:26,"528,40","529,20","527,20",,/borsa/etf/scheda/LU1681046188-XPMC.html?lang=it,Art. 8,LU1681046188,496.0
Amundi Global Corporate Bond 1-5y Esg - Ucits Etf Dr (C),"63,43","+0,03",16:38:45,"63,401","63,43","63,426",,/borsa/etf/scheda/LU1525418726-XPMC.html?lang=it,Art. 8,LU1525418726,54.105
Amundi Global Corporate Bond 1-5y Esg - Ucits Etf Dr (C),"54,24","-0,07",17:35:10,"54,12","54,24","54,24",,/borsa/etf/scheda/LU1525418726-ETFP.html?lang=it,Art. 8,LU1525418726,54.105
Amundi Global Gender Equality,"17,116","-1,07",17:35:06,"17,116","17,206","17,116",,/borsa/etf/scheda/LU1691909508-XPAR.html?lang=it,Art. 8,LU1691909508,17.098
Amundi Global Hydrogen Ucits Etf - Acc,"758,10","-0,56",17:35:17,"752,00","761,20","758,10",,/borsa/etf/scheda/FR0010930644-XPAR.html?lang=it,Art. 8,FR0010930644,758.0999755859375
Amundi Italy Mib Esg Ucits Etf Acc,"115,34","-0,64",17:00:59,"114,52","115,34","115,36",,/borsa/etf/scheda/LU1681037518-ETFP.html?lang=it,Art. 8,LU1681037518,115.1
Amundi Italy Mib Esg Ucits Etf Acc,"115,46","-0,50",17:35:08,"114,50","115,56","115,46",,/borsa/etf/scheda/LU1681037518-XPAR.html?lang=it,Art. 8,LU1681037518,115.1
