ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
IE0005HNE843,29.2,11.26,2.274,-4.18,,,4.08,,
IE00BMYDM919,30.72,13.0,2.087,-6.8,,,5.47,15.97,
LU1615090864,24.95,12.29,1.739,-6.95,,,6.6,12.75,
IE0006O3TTP9,25.58,13.12,1.676,-8.21,,,4.27,,
IE000QUCVEN9,22.6,12.04,1.579,-7.08,,,3.58,11.46,
IE000NS5HRY9,23.33,12.77,1.546,-8.44,,,6.5,11.82,
IE00BKPSFC54,22.32,13.29,1.409,-7.56,,,5.98,11.22,
IE00BD6RZT93,19.36,11.2,1.408,-8.3,,,3.09,9.73,
IE00BD6RZW23,18.89,11.06,1.383,-2.46,,,-2.13,,
LU1377382285,21.27,12.83,1.378,-7.7,,,6.03,10.67,
LU1215452928,21.81,13.28,1.371,-8.7,,,6.91,,
IE000D6810F1,17.57,11.06,1.263,-7.97,,,6.11,8.78,
IE000YUTMIU2,16.2,10.54,1.196,-5.81,,,5.01,,
IE0004MFRED4,15.96,10.88,1.137,-6.84,,,4.69,7.92,
IE000VDP6OY8,18.37,13.24,1.116,-7.67,,,4.94,,
IE0002XFS025,17.29,12.36,1.108,-7.6,,,6.54,,
IE000KJPDY61,16.56,11.97,1.083,-6.77,,,5.78,8.18,
IE0000P0RPE6,16.11,11.67,1.073,-6.84,,,5.65,7.96,
LU2194447293,16.85,12.42,1.068,-6.3,,,3.66,8.3,
IE000MKIH0W7,15.33,11.04,1.063,-6.65,,,7.15,,
IE00BLB2GT26,10.92,6.95,1.054,-3.6,,,3.06,,
IE00BLB2GQ94,8.32,4.64,1.018,-1.82,,,3.09,,
LU2993402101,16.81,13.04,1.014,-8.14,,,3.75,,
IE0001UQQ933,16.19,12.46,1.011,-6.61,,,5.45,,
IE00BKY59K37,16.47,13.05,0.987,-8.52,,,6.84,8.06,
IE00BLB2GS19,15.3,12.2,0.96,-6.95,,,7.95,,
IE000Q8N7WY1,15.13,12.3,0.938,-6.08,,,6.38,,
