ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1645385839,9.25,1.6,3.68,9.83,3.25,-2.32,-0.24,-0.45,0.4784,1.742,1.724,3.989,1.48,19.345,,,,,,37.9
LU2555926372,19.71,4.4,10.44,22.44,9.86,-9.31,-0.79,-1.48,1.9159,1.636,1.643,2.118,1.426,10.29,,,,,,38.5
IE000IAPH329,8.58,2.25,2.68,10.07,3.07,-4.03,-0.05,-0.38,0.613,1.626,0.82,2.131,1.663,13.997,,,,,,29.7
IE00B23LNQ02,23.12,8.52,13.33,36.12,12.73,-12.93,-1.04,-1.88,2.2542,1.534,1.802,1.789,1.354,10.257,,,,,,50.7
IE00BL25JM42,26.79,12.08,23.34,50.82,15.14,-14.4,-1.28,-2.18,2.7866,1.532,1.936,1.861,1.319,9.613,,,,,,57.2
IE0006O3TTP9,20.82,5.42,10.88,28.57,12.31,-9.08,-1.01,-1.63,2.5427,1.399,2.034,2.294,1.28,8.188,,,,,,55.0
IE00BG0TQB18,11.58,2.34,2.11,10.75,6.0,-5.52,-0.44,-0.86,0.8903,1.33,1.179,2.097,1.398,13.004,,,,,,39.8
IE00BYM11H29,22.06,10.58,7.12,31.87,14.15,-17.07,-1.25,-2.03,2.8064,1.305,1.703,1.292,1.267,7.86,,,,,,56.4
IE000GE2BEZ9,7.74,2.28,1.33,5.7,3.34,-3.47,-0.28,-0.43,0.5815,1.241,1.838,2.229,1.255,13.312,,,,,,54.2
IE000XFCOS45,5.98,0.83,0.54,3.76,1.93,-1.7,-0.17,-0.24,0.3139,1.235,1.994,3.521,1.238,19.055,,,,,,55.7
IE0009XKZC98,5.99,0.83,0.57,3.77,1.94,-1.68,-0.17,-0.24,0.3106,1.234,1.996,3.571,1.237,19.286,,,,,,55.4
IE00BYML9W36,21.82,11.41,6.16,30.94,14.86,-18.52,-1.33,-2.18,3.3635,1.227,1.617,1.178,1.253,6.487,,,,,,55.9
LU1720938841,10.28,3.03,4.34,14.69,5.49,-7.57,-0.54,-0.81,2.6409,1.219,1.344,1.358,1.298,3.894,,,,,,37.4
IE00018LB0D8,21.61,9.05,5.55,19.7,15.39,-16.1,-1.42,-2.24,3.2999,1.17,1.544,1.342,1.229,6.547,,,,,,55.5
IE000KF370H3,20.25,11.07,2.02,23.56,14.35,-17.06,-1.39,-2.09,3.2477,1.161,1.589,1.187,1.228,6.235,,,,,,57.3
IE0008FB2WZ1,19.53,10.16,4.16,25.52,13.81,-17.07,-1.27,-1.96,2.8808,1.154,1.565,1.144,1.228,6.78,,,,,,55.2
IE000LSRKCB4,13.25,5.63,4.56,16.2,8.39,-10.58,-0.71,-1.21,1.3342,1.151,1.259,1.252,1.269,9.931,,,,,,57.1
IE000Q7NR6I3,5.96,0.37,0.43,3.83,2.08,-1.95,-0.18,-0.28,0.3648,1.137,1.665,3.06,1.22,16.328,,,,,,58.7
IE000OJ31JQ4,11.8,5.56,5.61,18.9,7.27,-10.73,-0.55,-1.08,1.6354,1.129,1.376,1.1,1.261,7.215,,,,,,55.0
IE000716YHJ7,18.85,10.12,5.43,30.54,13.59,-16.6,-1.33,-1.88,3.167,1.123,1.583,1.136,1.22,5.953,,,,,,55.5
IE000LYBU7X5,19.77,8.71,7.59,30.81,14.54,-15.11,-1.37,-2.02,3.1448,1.113,1.589,1.309,1.212,6.288,,,,,,53.1
IE0002W8NB38,20.18,11.69,3.41,27.66,15.02,-18.88,-1.34,-2.08,3.5048,1.104,1.479,1.069,1.247,5.757,,,,,,46.9
IE0000VX9GN7,19.17,12.0,5.03,30.62,14.17,-19.47,-1.33,-2.04,3.718,1.099,1.463,0.985,1.221,5.156,,,,,,55.7
