ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1834988278,70.65,2.52,40.81,,17.66,-5.51,-1.67,-2.44,1.558,3.797,4.899,12.814,1.86,45.343,,,,,,67.2
IE000AIFGRB9,58.4,-3.08,32.22,,20.18,-9.64,-1.9,-2.83,2.5726,2.716,3.574,6.058,1.583,22.701,,,,,,59.2
FR0010524777,61.06,11.54,33.85,,21.16,-7.77,-1.99,-2.81,2.9326,2.716,3.758,7.861,1.594,20.821,,,,,,60.0
IE000MELAE65,56.55,-4.85,,,21.06,-11.22,-2.04,-3.0,2.9573,2.515,3.185,5.042,1.522,19.124,,,,,,54.8
IE000JNHCBM6,56.13,1.68,,,21.14,-6.48,-1.8,-2.74,2.2335,2.485,3.485,8.657,1.527,25.133,,,,,,55.6
IE0007WMHDE3,35.97,1.96,,,14.0,-4.11,-1.37,-1.87,1.4524,2.313,3.405,8.749,1.47,24.765,,,,,,56.1
LU1681046006,44.93,-0.98,,,18.08,-8.74,-1.36,-2.3,2.3143,2.286,3.362,5.143,1.493,19.415,,,,,,54.5
IE0005HNE843,29.2,4.08,,,11.26,-4.18,-1.0,-1.68,1.5065,2.274,2.95,6.995,1.464,19.386,,,,,,57.3
LU2976312418,30.73,5.28,,,11.99,-6.52,-1.08,-1.52,2.0581,2.263,3.552,4.713,1.426,14.929,,,,,,61.5
IE00BMYDM919,30.72,5.47,15.97,,13.0,-6.8,-1.03,-1.81,2.2105,2.087,2.898,4.518,1.419,13.899,,,,,,55.2
IE000VAKCHT4,51.59,8.38,,,24.04,-3.28,0.0,-0.03,1.5886,1.997,1.43,15.72,5.458,32.477,,,,,,4.1
LU1681046188,33.51,0.0,,,15.56,-4.54,-0.92,-2.06,2.4561,1.922,2.14,7.378,1.586,13.644,,,,,,35.0
IE00BLCHJH52,38.08,4.83,,,18.77,-7.47,-1.71,-2.28,2.4784,1.838,2.957,5.095,1.339,15.366,,,,,,54.0
IE000OKVTDF7,29.79,10.15,15.33,,14.35,-8.3,-1.27,-1.47,2.7341,1.825,3.558,3.589,1.37,10.896,,,,,,50.4
IE000H1H16W5,30.59,6.89,15.74,,14.97,-9.12,-1.38,-1.67,2.9764,1.803,3.159,3.354,1.373,10.276,,,,,,53.6
IE000FF2EBQ8,23.24,3.16,11.88,,10.91,-6.02,-0.95,-1.38,1.8445,1.801,2.829,3.858,1.345,12.599,,,,,,56.0
IE00BQQ3Q067,28.86,5.74,14.81,,14.21,-7.6,-1.29,-1.72,2.8584,1.779,2.821,3.8,1.35,10.097,,,,,,55.2
LU1615090864,24.95,6.6,12.75,,12.29,-6.95,-1.19,-1.67,2.3586,1.739,2.445,3.593,1.353,10.58,,,,,,54.4
IE0006O3TTP9,25.58,4.27,,,13.12,-8.21,-1.07,-1.54,2.7426,1.676,2.95,3.118,1.324,9.327,,,,,,53.7
IE00BDF12W49,26.92,5.52,13.72,,14.09,-7.54,-1.23,-1.72,2.8468,1.656,2.575,3.572,1.318,9.457,,,,,,52.0
IE000QUCVEN9,22.6,3.58,11.46,,12.04,-7.08,-1.05,-1.53,2.4782,1.579,2.36,3.192,1.295,9.119,,,,,,56.8
IE000NS5HRY9,23.33,6.5,11.82,,12.77,-8.44,-1.11,-1.4,2.6996,1.546,2.922,2.763,1.29,8.642,,,,,,53.6
LU0476289540,26.0,6.85,13.12,,15.08,-8.74,-1.52,-1.82,2.8489,1.486,2.519,2.973,1.277,9.125,,,,,,49.6
IE00BKPSFC54,22.32,5.98,11.22,,13.29,-7.56,-1.13,-1.63,2.7418,1.409,2.371,2.953,1.267,8.14,,,,,,52.8
IE00BD6RZW23,18.89,-2.13,,,11.06,-2.46,-0.32,-0.79,0.6896,1.383,1.592,7.668,2.014,27.39,,,,,,4.9
LU1377382285,21.27,6.03,10.67,,12.83,-7.7,-1.19,-1.82,2.5285,1.378,1.838,2.762,1.287,8.411,,,,,,53.6
LU1215452928,21.81,6.91,,,13.28,-8.7,-1.17,-1.87,2.9919,1.371,1.771,2.508,1.287,7.289,,,,,,56.1
IE000A89Y2G7,21.59,2.94,10.79,,13.59,-6.23,-1.24,-1.85,2.2379,1.324,1.872,3.469,1.238,9.649,,,,,,59.2
IE000PMX0MW6,20.42,1.24,,,13.1,-5.94,-1.22,-1.66,2.1832,1.285,2.137,3.441,1.218,9.355,,,,,,55.3
IE000D6810F1,17.57,6.11,8.78,,11.06,-7.97,-0.93,-1.14,2.6523,1.263,2.447,2.204,1.231,6.625,,,,,,50.4
IE00BJQRDN15,21.26,7.31,,,14.74,-8.65,-1.38,-1.59,2.7052,1.199,2.393,2.458,1.225,7.861,,,,,,48.4
IE000YUTMIU2,16.2,5.01,,,10.54,-5.81,-1.06,-1.26,1.8655,1.196,2.0,2.787,1.217,8.684,,,,,,53.7
IE00050J4789,21.77,6.6,,,15.38,-6.13,-1.53,-1.83,2.5763,1.182,2.007,3.55,1.216,8.452,,,,,,49.2
IE00BJQRDP39,19.99,6.93,,,14.13,-8.11,-1.09,-1.49,2.5914,1.16,2.333,2.464,1.217,7.713,,,,,,50.0
IE00B3VWM098,21.42,6.38,,,15.49,-6.14,-1.53,-1.87,2.5021,1.151,1.845,3.49,1.212,8.562,,,,,,50.4
IE0004MFRED4,15.96,4.69,7.92,,10.88,-6.84,-0.94,-1.25,2.4794,1.137,2.1,2.332,1.202,6.437,,,,,,48.0
IE000TD3TI26,16.57,4.75,,,11.62,-7.74,-1.11,-1.29,2.9625,1.117,2.045,2.14,1.2,5.593,,,,,,51.6
IE0002XFS025,17.29,6.54,,,12.36,-7.6,-1.05,-1.35,2.529,1.108,2.113,2.275,1.203,6.836,,,,,,49.2
IE000KJPDY61,16.56,5.78,8.18,,11.97,-6.77,-1.13,-1.37,2.1442,1.083,2.117,2.446,1.194,7.721,,,,,,52.0
IE0000P0RPE6,16.11,5.65,7.96,,11.67,-6.84,-1.02,-1.4,2.1736,1.073,1.941,2.355,1.196,7.413,,,,,,52.8
LU2194447293,16.85,3.66,8.3,,12.42,-6.3,-1.3,-1.69,2.2947,1.068,1.506,2.673,1.199,7.344,,,,,,53.6
IE000LYBU7X5,18.49,6.06,9.08,,13.99,-8.99,-1.16,-1.47,2.9187,1.065,2.059,2.057,1.197,6.334,,,,,,48.0
IE000MKIH0W7,15.33,7.15,,,11.04,-6.65,-1.06,-1.17,2.2338,1.063,2.043,2.307,1.188,6.864,,,,,,53.2
IE00BLB2GT26,10.92,3.06,,,6.95,-3.6,-0.54,-0.87,1.1959,1.054,1.267,3.035,1.371,9.13,,,,,,15.3
IE00BLB2GQ94,8.32,3.09,,,4.64,-1.82,0.0,-0.02,0.565,1.018,,4.561,1.666,14.721,,,,,,5.6
LU2993402101,16.81,3.75,,,13.04,-8.14,-1.18,-1.82,2.7416,1.014,1.408,2.064,1.194,6.131,,,,,,56.1
IE0001UQQ933,16.19,5.45,,,12.46,-6.61,-1.25,-1.44,2.1827,1.011,1.724,2.449,1.178,7.418,,,,,,54.5
IE00BKY59K37,16.47,6.84,8.06,,13.05,-8.52,-1.28,-1.55,2.8413,0.987,1.732,1.932,1.186,5.795,,,,,,53.6
IE00BLB2GS19,15.3,7.95,,,12.2,-6.95,-0.76,-1.5,2.3511,0.96,0.997,2.201,1.331,6.509,,,,,,19.4
IE000Q8N7WY1,15.13,6.38,,,12.3,-6.08,-1.15,-1.4,1.8694,0.938,1.542,2.489,1.17,8.093,,,,,,51.2
LU1291106356,15.25,2.07,7.44,,12.58,-6.65,-1.23,-1.58,2.7502,0.927,1.572,2.292,1.164,5.546,,,,,,52.0
IE000IDLWOL4,13.93,4.39,,,11.17,-7.14,-0.91,-1.24,2.6685,0.926,1.764,1.952,1.159,5.22,,,,,,49.6
IE00094GSCQ4,15.89,7.42,7.7,,13.78,-7.91,-1.13,-1.47,2.464,0.892,1.767,2.007,1.164,6.448,,,,,,50.4
IE000D8XC064,15.52,7.26,7.53,,13.4,-7.85,-1.16,-1.45,2.4717,0.89,1.739,1.977,1.16,6.28,,,,,,50.4
IE0002PGSLZ5,15.32,8.27,7.42,,13.41,-8.33,-1.22,-1.45,2.538,0.875,1.681,1.84,1.157,6.037,,,,,,50.4
LU2533813296,20.32,6.77,9.59,,19.51,-7.39,0.0,-0.09,2.6432,0.857,0.32,2.749,1.689,7.687,,,,,,3.2
IE000WHL2ZK1,13.26,6.53,6.46,,11.3,-6.69,-1.04,-1.28,1.896,0.856,1.553,1.984,1.153,6.995,,,,,,51.2
IE00BMDV7578,16.39,6.57,,,15.2,-7.11,-1.44,-1.93,2.8992,0.842,1.368,2.306,1.155,5.654,,,,,,51.6
IE0007FM00T9,13.32,6.45,6.48,,11.59,-6.73,-1.0,-1.33,1.9047,0.84,1.519,1.98,1.153,6.996,,,,,,51.2
IE000A7N3IV0,15.08,7.87,,,13.73,-8.87,-1.16,-1.56,2.8576,0.837,1.528,1.7,1.155,5.276,,,,,,51.6
IE00BKY40J65,13.43,7.65,6.52,,11.88,-7.75,-1.12,-1.39,2.6905,0.828,1.423,1.732,1.147,4.991,,,,,,51.2
LU2976314463,13.47,2.02,,,12.02,-6.17,-1.06,-1.5,2.4262,0.822,1.397,2.185,1.144,5.551,,,,,,56.1
NL0010408704,15.17,5.43,,,14.19,-7.97,-1.23,-1.54,2.6909,0.816,1.471,1.904,1.151,5.639,,,,,,50.0
IE00BYVJRR92,15.06,8.84,7.23,,14.07,-8.69,-1.28,-1.44,2.9988,0.815,1.665,1.733,1.14,5.023,,,,,,52.8
IE000UFAX9L6,16.26,6.52,,,15.76,-8.63,-1.46,-1.96,2.7152,0.804,1.341,1.883,1.147,5.988,,,,,,50.0
IE00BKS7L097,13.66,8.13,6.6,,12.56,-8.79,-1.13,-1.28,2.7509,0.802,1.571,1.554,1.143,4.966,,,,,,51.2
LU1603797587,12.46,1.93,6.05,,11.09,-6.64,-0.24,-1.59,2.972,0.8,0.42,1.877,1.335,4.194,,,,,,11.2
IE00BGHQ0G80,13.92,7.06,,,12.96,-7.25,-1.35,-1.48,2.4616,0.796,1.36,1.921,1.146,5.654,,,,,,52.0
IE00BZ0XVF52,9.46,2.71,4.66,,7.4,-4.82,-0.67,-0.97,1.5958,0.793,1.208,1.963,1.156,5.927,,,,,,53.6
LU0959210278,12.69,4.89,6.15,,11.54,-7.51,-0.97,-1.57,2.6099,0.789,1.068,1.691,1.145,4.864,,,,,,56.0
IE0007ULOZS8,13.65,8.19,6.58,,12.8,-8.97,-1.22,-1.36,2.7642,0.786,1.508,1.522,1.141,4.939,,,,,,51.2
IE0000VX9GN7,13.46,8.25,6.48,,12.69,-8.97,-1.2,-1.35,2.7475,0.777,1.477,1.501,1.138,4.898,,,,,,50.4
IE00BLLZQ805,13.05,6.41,,,12.33,-7.53,-1.13,-1.36,2.4193,0.767,1.454,1.734,1.136,5.394,,,,,,52.0
LU0959210781,12.42,4.83,6.0,,11.55,-7.55,-0.97,-1.55,2.6162,0.764,1.045,1.644,1.141,4.748,,,,,,53.6
IE0006WOV4I9,12.83,6.1,,,12.28,-6.63,-1.33,-1.49,2.122,0.752,1.244,1.936,1.138,6.047,,,,,,54.1
IE00BYTH5T38,12.26,4.8,,,11.54,-7.54,-0.98,-1.59,2.642,0.751,1.001,1.626,1.14,4.641,,,,,,53.3
IE000P1IQS65,13.48,6.5,,,13.27,-7.49,-1.13,-1.52,2.3604,0.745,1.384,1.8,1.132,5.71,,,,,,52.0
IE0009VWHAE6,13.52,8.43,6.47,,13.36,-8.13,-1.28,-1.45,2.5193,0.743,1.428,1.663,1.132,5.368,,,,,,50.4
IE000SNWS0L0,14.34,8.21,6.82,,14.54,-9.35,-1.29,-1.64,2.9734,0.739,1.373,1.534,1.133,4.824,,,,,,48.8
IE0001JABD69,13.1,6.97,,,13.05,-8.2,-1.1,-1.47,2.6598,0.729,1.381,1.598,1.127,4.926,,,,,,49.2
LU0599612842,11.96,5.76,,,11.61,-7.71,-0.91,-1.61,2.7022,0.721,0.968,1.551,1.131,4.428,,,,,,56.1
IE0004J37T45,11.92,6.8,5.74,,11.56,-6.94,-1.13,-1.43,2.4456,0.721,1.156,1.717,1.127,4.875,,,,,,51.2
