ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1645385839,9.25,1.6,3.68,9.83,3.25,-2.32,-0.24,-0.45,0.4784,1.742,1.724,3.989,1.48,19.345,,,,,,37.9
LU2555926372,19.71,4.4,10.44,22.44,9.86,-9.31,-0.79,-1.48,1.9159,1.636,1.643,2.118,1.426,10.29,,,,,,38.5
IE000YYE6WK5,37.79,-2.55,0.33,22.39,21.14,-14.01,-2.12,-2.92,4.2549,1.618,2.372,2.697,1.324,8.882,,,,,,56.9
IE00B23LNQ02,23.12,8.52,13.33,36.12,12.73,-12.93,-1.04,-1.88,2.2542,1.534,1.802,1.789,1.354,10.257,,,,,,50.7
IE00BL25JM42,26.79,12.08,23.34,50.82,15.14,-14.4,-1.28,-2.18,2.7866,1.532,1.936,1.861,1.319,9.613,,,,,,57.2
IE0006O3TTP9,20.82,5.42,10.88,28.57,12.31,-9.08,-1.01,-1.63,2.5427,1.399,2.034,2.294,1.28,8.188,,,,,,55.0
IE00BG0TQB18,11.58,2.34,2.11,10.75,6.0,-5.52,-0.44,-0.86,0.8903,1.33,1.179,2.097,1.398,13.004,,,,,,39.8
IE000GE2BEZ9,7.74,2.28,1.33,5.7,3.34,-3.47,-0.28,-0.43,0.5815,1.241,1.838,2.229,1.255,13.312,,,,,,54.2
IE000XFCOS45,5.98,0.83,0.54,3.76,1.93,-1.7,-0.17,-0.24,0.3139,1.235,1.994,3.521,1.238,19.055,,,,,,55.7
IE0009XKZC98,5.99,0.83,0.57,3.77,1.94,-1.68,-0.17,-0.24,0.3106,1.234,1.996,3.571,1.237,19.286,,,,,,55.4
LU1720938841,10.28,3.03,4.34,14.69,5.49,-7.57,-0.54,-0.81,2.6409,1.219,1.344,1.358,1.298,3.894,,,,,,37.4
IE000LSRKCB4,13.25,5.63,4.56,16.2,8.39,-10.58,-0.71,-1.21,1.3342,1.151,1.259,1.252,1.269,9.931,,,,,,57.1
IE000Q7NR6I3,5.96,0.37,0.43,3.83,2.08,-1.95,-0.18,-0.28,0.3648,1.137,1.665,3.06,1.22,16.328,,,,,,58.7
IE000OJ31JQ4,11.8,5.56,5.61,18.9,7.27,-10.73,-0.55,-1.08,1.6354,1.129,1.376,1.1,1.261,7.215,,,,,,55.0
IE000N852182,5.95,0.39,0.44,3.84,2.17,-1.94,-0.21,-0.29,0.3657,1.085,1.644,3.065,1.214,16.277,,,,,,58.7
IE000LAUZQT6,19.67,10.09,11.53,38.35,14.92,-14.23,-1.4,-2.06,3.5892,1.078,1.532,1.382,1.206,5.48,,,,,,54.2
IE000W1AURU9,8.19,2.35,1.34,7.51,4.52,-5.09,-0.35,-0.65,0.7335,1.017,1.244,1.609,1.215,11.165,,,,,,58.4
IE000NS5HRY9,15.85,8.17,9.41,25.58,12.17,-14.68,-1.15,-1.7,2.646,1.007,1.373,1.08,1.196,5.989,,,,,,55.0
