ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE0004L7EQG2,2.15,0.18,,,0.13,-0.01,-0.0,-0.01,0.0019,-11.335,-23.64,179.329,0.182,1117.193,,,,,,89.8
IE000JJPY166,2.02,0.19,,,0.12,-0.01,-0.0,-0.01,0.0022,-13.395,-25.3,164.483,0.104,916.91,,,,,,87.0
LU1923163759,3.96,0.41,1.98,,0.7,-0.06,0.0,-0.0,0.0156,0.533,1.133,67.76,1.12,253.895,,,,,,19.2
LU2898088419,2.28,0.19,,,0.18,-0.04,-0.0,-0.01,0.0056,-7.262,-7.126,62.02,0.271,407.078,,,,,,92.7
IE000WXLHR76,1.99,0.21,,,0.38,-0.07,-0.03,-0.04,0.0204,-4.16,-7.689,28.62,0.493,97.497,,,,,,60.2
IE000O36LOH8,3.75,0.38,,,0.82,-0.18,-0.07,-0.09,0.0318,0.186,0.308,21.122,1.032,117.924,,,,,,58.9
IE000RW7V8Q4,1.89,0.2,,,0.4,-0.09,-0.04,-0.05,0.0269,-4.301,-6.022,20.118,0.48,70.45,,,,,,66.7
IE000VAKCHT4,51.59,8.38,,,24.04,-3.28,0.0,-0.03,1.5886,1.997,1.43,15.72,5.458,32.477,,,,,,4.1
IE000SIZJ2B2,1.76,0.15,,,0.68,-0.13,-0.06,-0.08,0.0379,-2.716,-4.402,13.504,0.632,46.346,,,,,,55.3
LU1834988278,70.65,2.52,40.81,,17.66,-5.51,-1.67,-2.44,1.558,3.797,4.899,12.814,1.86,45.343,,,,,,67.2
IE000NBRE3P7,2.02,0.11,,,0.74,-0.16,-0.07,-0.1,0.0468,-2.125,-2.719,12.391,0.685,43.243,,,,,,50.4
LU2533812058,1.92,0.28,,,0.39,-0.17,-0.04,-0.04,0.0409,-4.295,-10.323,11.65,0.497,47.029,,,,,,45.5
IE00BDFC6Q91,3.63,0.49,,,0.94,-0.34,-0.05,-0.1,0.0599,0.045,0.05,10.74,1.009,60.719,,,,,,65.3
IE000Q9IHH10,3.13,0.4,,,0.73,-0.3,-0.06,-0.1,0.0841,-0.631,-0.797,10.342,0.896,37.224,,,,,,62.6
LU2941599164,2.99,0.42,,,0.72,-0.29,-0.06,-0.08,0.0919,-0.828,-1.421,10.148,0.863,32.571,,,,,,56.9
LU1923163676,3.65,0.21,1.82,,1.54,-0.37,0.0,-0.0,0.093,0.035,,9.883,1.013,39.223,,,,,,5.6
IE0007WMHDE3,35.97,1.96,,,14.0,-4.11,-1.37,-1.87,1.4524,2.313,3.405,8.749,1.47,24.765,,,,,,56.1
IE000JNHCBM6,56.13,1.68,,,21.14,-6.48,-1.8,-2.74,2.2335,2.485,3.485,8.657,1.527,25.133,,,,,,55.6
IE000AYJ75E5,2.15,0.24,,,0.85,-0.27,-0.07,-0.11,0.0739,-1.704,-1.886,7.941,0.704,29.117,,,,,,62.6
FR0010524777,61.06,11.54,33.85,,21.16,-7.77,-1.99,-2.81,2.9326,2.716,3.758,7.861,1.594,20.821,,,,,,60.0
IE00BD6RZW23,18.89,-2.13,,,11.06,-2.46,-0.32,-0.79,0.6896,1.383,1.592,7.668,2.014,27.39,,,,,,4.9
LU1681046188,33.51,0.0,,,15.56,-4.54,-0.92,-2.06,2.4561,1.922,2.14,7.378,1.586,13.644,,,,,,35.0
IE0005HNE843,29.2,4.08,,,11.26,-4.18,-1.0,-1.68,1.5065,2.274,2.95,6.995,1.464,19.386,,,,,,57.3
IE000CCQKON9,1.9,0.28,,,0.86,-0.29,-0.07,-0.12,0.0869,-1.957,-2.406,6.457,0.676,21.871,,,,,,56.1
IE00BK5BCH80,62.27,10.41,33.84,,26.41,-9.85,-2.46,-3.34,3.28,2.222,3.532,6.325,1.453,18.986,,,,,,58.4
