ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000VAKCHT4,51.59,8.38,,,24.04,-3.28,0.0,-0.03,1.5886,1.997,1.43,15.72,5.458,32.477,,,,,,4.1
LU3121015211,51.13,10.54,,,15.61,-10.31,-0.7,-2.26,4.0652,3.046,2.259,4.958,2.088,12.578,,,,,,41.4
IE00BD6RZW23,18.89,-2.13,,,11.06,-2.46,-0.32,-0.79,0.6896,1.383,1.592,7.668,2.014,27.39,,,,,,4.9
LU1834988278,70.65,2.52,40.81,,17.66,-5.51,-1.67,-2.44,1.558,3.797,4.899,12.814,1.86,45.343,,,,,,67.2
LU2533813296,20.32,6.77,9.59,,19.51,-7.39,0.0,-0.09,2.6432,0.857,0.32,2.749,1.689,7.687,,,,,,3.2
IE00BLB2GQ94,8.32,3.09,,,4.64,-1.82,0.0,-0.02,0.565,1.018,,4.561,1.666,14.721,,,,,,5.6
IE000DR59CI3,86.21,24.74,49.86,,30.28,-13.79,-2.52,-3.48,6.0173,2.728,4.572,6.252,1.61,14.326,,,,,,53.6
FR0010524777,61.06,11.54,33.85,,21.16,-7.77,-1.99,-2.81,2.9326,2.716,3.758,7.861,1.594,20.821,,,,,,60.0
LU1681046188,33.51,0.0,,,15.56,-4.54,-0.92,-2.06,2.4561,1.922,2.14,7.378,1.586,13.644,,,,,,35.0
IE000AIFGRB9,58.4,-3.08,32.22,,20.18,-9.64,-1.9,-2.83,2.5726,2.716,3.574,6.058,1.583,22.701,,,,,,59.2
IE000J0LN0R5,60.33,-3.91,,,21.22,-12.35,-1.98,-3.09,3.3247,2.674,3.535,4.884,1.558,18.148,,,,,,56.9
IE0009BC6K22,74.68,15.67,41.58,,30.14,-16.11,-2.49,-3.81,5.4774,2.358,3.371,4.637,1.537,13.634,,,,,,58.4
IE000JNHCBM6,56.13,1.68,,,21.14,-6.48,-1.8,-2.74,2.2335,2.485,3.485,8.657,1.527,25.133,,,,,,55.6
IE000MELAE65,56.55,-4.85,,,21.06,-11.22,-2.04,-3.0,2.9573,2.515,3.185,5.042,1.522,19.124,,,,,,54.8
IE00BNC0MH93,57.48,12.96,,,26.63,-16.05,-2.05,-3.39,5.4453,2.023,2.761,3.582,1.508,10.555,,,,,,47.5
LU1681046006,44.93,-0.98,,,18.08,-8.74,-1.36,-2.3,2.3143,2.286,3.362,5.143,1.493,19.415,,,,,,54.5
FR0010930644,54.22,8.56,29.53,,20.06,-8.59,-1.84,-2.47,3.7127,2.524,4.047,6.31,1.492,14.604,,,,,,57.6
IE000MRIQ479,34.28,4.19,,,13.87,-9.02,-0.97,-1.85,3.4461,2.213,3.113,3.801,1.479,9.948,,,,,,58.3
IE0007WMHDE3,35.97,1.96,,,14.0,-4.11,-1.37,-1.87,1.4524,2.313,3.405,8.749,1.47,24.765,,,,,,56.1
LU2533813023,20.56,0.0,9.91,,17.43,-8.0,-0.36,-2.31,3.8648,0.974,0.512,2.571,1.465,5.321,,,,,,11.2
IE0005HNE843,29.2,4.08,,,11.26,-4.18,-1.0,-1.68,1.5065,2.274,2.95,6.995,1.464,19.386,,,,,,57.3
IE000JZYIUN0,49.6,10.73,26.62,,20.0,-8.62,-1.62,-2.56,3.3358,2.301,3.591,5.751,1.46,14.87,,,,,,52.8
IE00BK5BCH80,62.27,10.41,33.84,,26.41,-9.85,-2.46,-3.34,3.28,2.222,3.532,6.325,1.453,18.986,,,,,,58.4
FR0013412004,51.61,3.83,27.72,,21.24,-9.51,-2.09,-2.72,3.1007,2.26,3.523,5.427,1.45,16.644,,,,,,54.4
IE00BF0M2Z96,74.98,17.08,41.16,,33.01,-14.23,-3.09,-4.03,5.1887,2.162,3.458,5.269,1.448,14.45,,,,,,56.0
LU2976312418,30.73,5.28,,,11.99,-6.52,-1.08,-1.52,2.0581,2.263,3.552,4.713,1.426,14.929,,,,,,61.5
