ISIN,Rendimento_annuo%,Volatilita_annua%,Sharpe_Ratio,Max_Drawdown%,Beta,Alpha%,Perf_1mese%,Perf_6mesi%,Perf_1anno%
LU1834988278,70.65,17.66,3.797,-5.51,,,2.52,40.81,
LU3121015211,51.13,15.61,3.046,-10.31,,,10.54,,
IE000DR59CI3,86.21,30.28,2.728,-13.79,,,24.74,49.86,
IE000AIFGRB9,58.4,20.18,2.716,-9.64,,,-3.08,32.22,
IE000J0LN0R5,60.33,21.22,2.674,-12.35,,,-3.91,,
FR0010930644,54.22,20.06,2.524,-8.59,,,8.56,29.53,
IE000MELAE65,56.55,21.06,2.515,-11.22,,,-4.85,,
IE000JNHCBM6,56.13,21.14,2.485,-6.48,,,1.68,,
IE0009BC6K22,74.68,30.14,2.358,-16.11,,,15.67,41.58,
IE0007WMHDE3,35.97,14.0,2.313,-4.11,,,1.96,,
IE000JZYIUN0,49.6,20.0,2.301,-8.62,,,10.73,26.62,
LU1681046006,44.93,18.08,2.286,-8.74,,,-0.98,,
IE0005HNE843,29.2,11.26,2.274,-4.18,,,4.08,,
FR0013412004,51.61,21.24,2.26,-9.51,,,3.83,27.72,
IE00BK5BCH80,62.27,26.41,2.222,-9.85,,,10.41,33.84,
IE000MRIQ479,34.28,13.87,2.213,-9.02,,,4.19,,
IE00BF0M2Z96,74.98,33.01,2.162,-14.23,,,17.08,41.16,
IE00BMYDM919,30.72,13.0,2.087,-6.8,,,5.47,15.97,
IE0004U3TX15,59.01,26.91,2.059,-13.46,,,24.53,31.62,
IE00BNC0MH93,57.48,26.63,2.023,-16.05,,,12.96,,
IE000VAKCHT4,51.59,24.04,1.997,-3.28,,,8.38,,
LU1681046188,33.51,15.56,1.922,-4.54,,,0.0,,
IE000YU9K6K2,92.14,46.37,1.91,-20.2,,,7.58,,
LU1900066033,73.82,36.98,1.899,-14.85,,,22.7,,
IE000PN3F926,50.5,24.85,1.887,-9.86,,,11.02,,
IE00BLCHJH52,38.08,18.77,1.838,-7.47,,,4.83,,
IE000OKVTDF7,29.79,14.35,1.825,-8.3,,,10.15,15.33,
IE000FCGBU62,40.8,20.57,1.809,-14.69,,,6.83,,
IE000H1H16W5,30.59,14.97,1.803,-9.12,,,6.89,15.74,
IE000KHX9DX6,82.63,44.03,1.795,-24.69,,,15.68,43.56,
IE00BLRB0242,44.03,22.67,1.784,-11.33,,,11.68,,
IE00BQQ3Q067,28.86,14.21,1.779,-7.6,,,5.74,14.81,
IE000PNL0242,34.98,18.02,1.742,-9.41,,,8.08,,
IE00BKY58G26,39.85,20.83,1.741,-12.87,,,10.97,20.55,
LU1615090864,24.95,12.29,1.739,-6.95,,,6.6,12.75,
IE00BMYDM794,53.46,29.24,1.705,-15.93,,,18.01,27.62,
IE00BMYDMB35,32.05,16.7,1.704,-10.86,,,4.71,16.42,
IE0006O3TTP9,25.58,13.12,1.676,-8.21,,,4.27,,
IE0005E47AH7,37.45,20.32,1.666,-9.41,,,4.68,19.18,
IE00BGL86Z12,48.27,26.84,1.665,-13.03,,,21.04,24.82,
IE00BDF12W49,26.92,14.09,1.656,-7.54,,,5.52,13.72,
IE000ANHU3J3,35.46,19.42,1.641,-12.1,,,10.76,,
IE000O8S1EX4,32.69,17.77,1.638,-10.43,,,8.66,,
IE000Y6ZXZ48,32.94,18.13,1.618,-8.16,,,14.97,,
IE0006SEWKA2,35.14,19.53,1.615,-10.28,,,9.7,,
IE000QUCVEN9,22.6,12.04,1.579,-7.08,,,3.58,11.46,
LU1048313891,40.63,23.77,1.558,-11.34,,,11.3,,
IE00BJ5JP766,37.5,21.77,1.557,-16.54,,,6.86,,
IE0002RPS3K2,79.03,48.6,1.552,-29.67,,,41.13,,
IE000CBYU7J5,37.33,21.77,1.55,-12.4,,,9.7,18.94,
