ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
IE000YYE6WK5,37.79,-2.55,0.33,22.39,21.14,-14.01,-2.12,-2.92,4.2549,1.618,2.372,2.697,1.324,8.882,,,,,,56.9
LU1900066033,58.03,33.2,37.54,137.82,34.92,-33.24,-3.49,-4.81,9.0959,1.559,2.155,1.745,1.31,6.379,,,,,,54.9
IE000YU9K6K2,44.8,16.74,42.6,167.63,32.87,-25.87,-3.01,-4.04,9.3016,1.254,2.096,1.732,1.24,4.816,,,,,,53.4
IE000C87OS21,50.38,33.25,35.41,135.27,32.6,-36.17,-3.16,-4.5,9.2984,1.435,2.044,1.393,1.284,5.418,,,,,,52.6
IE0006O3TTP9,20.82,5.42,10.88,28.57,12.31,-9.08,-1.01,-1.63,2.5427,1.399,2.034,2.294,1.28,8.188,,,,,,55.0
IE0009XKZC98,5.99,0.83,0.57,3.77,1.94,-1.68,-0.17,-0.24,0.3106,1.234,1.996,3.571,1.237,19.286,,,,,,55.4
IE000XFCOS45,5.98,0.83,0.54,3.76,1.93,-1.7,-0.17,-0.24,0.3139,1.235,1.994,3.521,1.238,19.055,,,,,,55.7
IE00BL25JM42,26.79,12.08,23.34,50.82,15.14,-14.4,-1.28,-2.18,2.7866,1.532,1.936,1.861,1.319,9.613,,,,,,57.2
IE0004U3TX15,35.97,28.14,25.26,99.69,25.73,-27.01,-2.5,-3.46,6.9706,1.258,1.884,1.332,1.236,5.161,,,,,,56.3
IE000CBYU7J5,27.16,13.28,14.52,51.53,17.62,-17.13,-1.59,-2.41,4.1815,1.338,1.876,1.586,1.275,6.496,,,,,,49.1
IE000GE2BEZ9,7.74,2.28,1.33,5.7,3.34,-3.47,-0.28,-0.43,0.5815,1.241,1.838,2.229,1.255,13.312,,,,,,54.2
IE00B23LNQ02,23.12,8.52,13.33,36.12,12.73,-12.93,-1.04,-1.88,2.2542,1.534,1.802,1.789,1.354,10.257,,,,,,50.7
LU0950674175,25.58,14.2,17.23,50.4,17.82,-16.81,-1.71,-2.45,4.409,1.234,1.788,1.522,1.241,5.802,,,,,,54.1
IE00B3Z3FS74,25.4,14.1,16.13,50.18,18.39,-17.03,-1.6,-2.47,4.4577,1.186,1.77,1.492,1.234,5.699,,,,,,51.4
IE00B7WK2W23,26.45,15.76,14.97,50.48,20.0,-19.18,-1.83,-2.67,5.2195,1.143,1.749,1.379,1.216,5.067,,,,,,50.3
LU1645385839,9.25,1.6,3.68,9.83,3.25,-2.32,-0.24,-0.45,0.4784,1.742,1.724,3.989,1.48,19.345,,,,,,37.9
IE000M7V94E1,41.15,8.52,-11.12,99.65,34.75,-33.68,-3.17,-4.53,9.8582,1.081,1.714,1.221,1.2,4.174,,,,,,53.1
IE00BYM11H29,22.06,10.58,7.12,31.87,14.15,-17.07,-1.25,-2.03,2.8064,1.305,1.703,1.292,1.267,7.86,,,,,,56.4
IE000Q0IU5T1,28.52,17.09,-0.94,39.11,21.61,-25.54,-2.12,-3.01,6.2116,1.153,1.672,1.117,1.217,4.592,,,,,,56.3
IE000Q7NR6I3,5.96,0.37,0.43,3.83,2.08,-1.95,-0.18,-0.28,0.3648,1.137,1.665,3.06,1.22,16.328,,,,,,58.7
